name,datetime,location,All Day
APDA Tournament Hosted by University of Virginia,2025-04-18 15:00:00,University of Virginia,False
HOF Hacks - 24 hour hackathon with Vercel & Figma,2025-04-18 16:30:00,HOF Capital NYC HQ,False
Volunteer at Tompkins Distro w/ CAS ISC,2025-04-19 09:00:00,Tompkins Square Park,False
Peer Tutoring,2025-04-19 11:00:00,CycleBar Noho,False
E Board Gathering Meeting,2025-04-19 11:00:00,Online,False
CCNY x NYU AIChE: Central Park Picnic,2025-04-19 11:00:00,Central Park,False
JCA Sakura Undoukai,2025-04-19 11:00:00,Central Park - East Pinetum,False
The Gaming Collective @NYU,2025-04-19 11:00:00,Pelham Bay Park,False
Society for Women in Sports - All-University MTG Club Weekly Meeting,2025-04-19 11:00:00,6 Metrotech Room 304,False
Herps and Birds at Pelham Bay Park,2025-04-19 11:00:00,Pelham Bay Park,False
Taiwanese Student Association - All-University CPC with Rebecca Feldman,2025-04-19 11:00:00,Online,False
Volunteer Earth Day Picnic,2025-04-19 12:00:00,Sasaki Garden in Washington Square Village,False
The New York Botanic Garden Trip,2025-04-19 12:00:00,New York Botanical Garden,False
Papotons en français!,2025-04-19 12:30:00,Washington Square Campus,False
Generasian Blog Bonding Meeting,2025-04-19 13:00:00,Washington Square Park,False
Collaborative Service name: Washington Square Park Clean Up With SIA & LUL,2025-04-19 13:00:00,Washington Square Park,False
Mindfulness-Based Vinyasa Yoga with Hunt Parr,2025-04-19 13:00:00,"238 Thompson Street (GCASL), Room 461",False
Club Anime's Coscafe 2025,2025-04-19 13:00:00,Eisner & Lubin Auditorium,False
Weekly Ballet Class,2025-04-19 14:00:00,Kimmel 606,False
PsiU Chopped 2024,2025-04-19 14:00:00,Stern KMC,False
CYC Professional Development name,2025-04-19 15:00:00,GCASL 365,False
Ethics Workshop Series,2025-04-19 16:00:00,Washington Square Campus,False
On Va Faire Comment? Sunset Soirée,2025-04-19 16:00:00,Kimmel Center for University Life,False
SPS SBS x GSBS: New York Red Bulls Panel & Game,2025-04-19 16:30:00,Sports Illustrated Stadium,False
Weekly Breaking Practice,2025-04-19 18:00:00,Kimmel 606,False
Dangerbox April Show,2025-04-19 19:30:00,Kimmel Center Room 802,False
Violet-Fit: Powerlifting Basics,2025-04-20 00:00:00,Palladium Athletic Facility - Performance Center,True
Violet-Fit: Kettlebell Training,2025-04-20 00:00:00,Palladium Athletic Facility - Performance Center,True
Violet Fit: Open Training,2025-04-20 00:00:00,Palladium Athletic Facility - Performance Center,True
This exhibition features a new English translation of Note sur la suppression générale des partis politiques (1943) by French philosopher and activist Simone Weil,2025-04-20 00:00:00,"80 Washington Square East, NYC",True
VioletFit: Intro to Weightlifting,2025-04-20 00:00:00,404 Fitness - Dance Studio,True
Spring 25 Coffee Chats with BLS,2025-04-20 00:00:00,Peet’s Coffee - Kimmel Center,True
Politics Society E-Board Elections – Final Event of the Year,2025-04-20 00:00:00,Helen and Kimmel Center for University Life,True
NYWEA x CUE Earth Day Event,2025-04-20 00:00:00,Civil and Urban Engineering Department Pantry Area,True
Intermediate Choreography Lessons,2025-04-20 00:00:00,Pearl Studios,True
CBL Doodles; Tea and Joe’s Pizza,2025-04-20 00:00:00,GLOBAL CTR (Kimmel) - GC 361,True
Bridges Mentorship Program,2025-04-20 00:00:00,Kimmel Rm 375,True
Bridge and Spades Meeting & Eboard Election,2025-04-20 00:00:00,Kimmel 802 Shoren,True
Spring 2025,2025-04-20 00:00:00,NYU Shanghai New Bund Campus,True
VioletFit: Intro to Weightlifting,2025-04-20 00:00:00,Palladium Athletic Facility,True
ACF Nationals,2025-04-20 00:00:00,University of Maryland,True
AMC Virtual Diaper Drive,2025-04-20 00:00:00,Benefitting Little Essentials,True
Chapter Meeting,2025-04-20 04:00:00,Kimmel 905/907,False
Chapter Meeting,2025-04-20 04:00:00,Kimmel 905/907,False
New York University Men’s Golf vs Farmingdale State College Spring Invitational - Round 2,2025-04-20 09:00:00,"Bethpage, NY",False
Buddhism Club Half Day Retreat,2025-04-20 10:00:00,Kimmel,False
Buddhism Club Half Day Retreat,2025-04-20 10:00:00,Kimmel,False
Discover NY: Intrepid Museum,2025-04-20 10:30:00,Intrepid Museum,False
New York University Baseball at Case Western Reserve University,2025-04-20 11:00:00,"Cleveland, Ohio",False
NYU aKDPhi Donut Fundraiser,2025-04-20 12:00:00,Between Bobst and KMEC,False
NYU aKDPhi Donut Fundraiser,2025-04-20 12:00:00,Between Bobst and KMEC,False
Papotons en français!,2025-04-20 12:30:00,Washington Square Campus,False
APO - Pledge Initiation,2025-04-20 13:30:00,GCASL 279,False
APO - Pledge Initiation,2025-04-20 13:30:00,GCASL 279,False
Cleftomaniacs - weekly rehearsal,2025-04-20 14:00:00,Kimmel 604,False
OGS x Violet Diabolo Workshop,2025-04-20 14:00:00,Kimmel 606,False
Chinese Yo-yo Workshop,2025-04-20 14:00:00,Kimmel Center,False
OGS x Violet Diabolo Workshop,2025-04-20 14:00:00,Kimmel 606,False
Cleftomaniacs - weekly rehearsal,2025-04-20 14:00:00,Kimmel 604,False
Ethics Workshop Series,2025-04-20 16:00:00,Washington Square Campus,False
AFD Weekly Practice,2025-04-20 17:00:00,KC 606 DANCE,False
AFD Weekly Practice,2025-04-20 17:00:00,KC 606 DANCE,False
SIX The Musical,2025-04-20 19:00:00,TBD,False
Bridge and Spades Meeting & Eboard Election,2025-04-21 00:00:00,Kimmel 802 Shoren,True
Bridges Mentorship Program,2025-04-21 00:00:00,Kimmel Rm 375,True
CBL Doodles; Tea and Joe’s Pizza,2025-04-21 00:00:00,GLOBAL CTR (Kimmel) - GC 361,True
Fall 2025 Registration Begins,2025-04-21 00:00:00,,True
Graduate Portrait Sessions,2025-04-21 00:00:00,The Jeffrey S. Gould Welcome Center,True
Intermediate Choreography Lessons,2025-04-21 00:00:00,Pearl Studios,True
AMC Virtual Diaper Drive,2025-04-21 00:00:00,,True
Politics Society E-Board Elections – Final Event of the Year,2025-04-21 00:00:00,Helen and Kimmel Center for University Life,True
Spring 25 Coffee Chats with BLS,2025-04-21 00:00:00,Peet’s Coffee - Kimmel Center,True
Exhibition on Simone Weil's Note sur la suppression générale des partis politiques,2025-04-21 00:00:00,"80 Washington Square East, NYC",True
Spring 2025,2025-04-21 00:00:00,NYU Shanghai New Bund Campus,True
NYWEA x CUE Earth Day Event,2025-04-21 00:00:00,Civil and Urban Engineering Department Pantry Area,True
Violet Fit: Open Training,2025-04-21 00:00:00,Palladium Athletic Facility - Performance Center,True
Guided Yoga for Desk Slouchers,2025-04-21 10:00:00,Palladium Performance Studio,False
Zine-Making & Matcha,2025-04-21 11:00:00,Gallatin Student Lounge,False
5-Minute Journaling Pop-Up,2025-04-21 11:30:00,Kimmel 4th Floor Study Space,False
Free Therapy Dogs & Bubble Tea,2025-04-21 12:00:00,Kimmel Center Lobby,False
SHRM Resume Workshop Series,2025-04-21 12:00:00,Online,False
Spirit Week: Merch Pickup + Decorating,2025-04-21 12:00:00,Dibner Arcade (outside in the Commons),False
Quiet Walk + Audio Essay Experience,2025-04-21 12:00:00,Start at Washington Square Arch,False
Climate Change Film Festival,2025-04-21 12:00:00,Kimmel Center for University Life,False
Papotons en français!,2025-04-21 12:30:00,Washington Square Campus,False
Women in Consulting Panel,2025-04-21 12:30:00,UC-25,False
Study with Me: Café-Style Session,2025-04-21 13:00:00,Bobst 10th Floor Lounge,False
Latinx Heritage Playlist & Pizza,2025-04-21 14:00:00,Center for Multicultural Education & Programs,False
Earth Day Tie-Dye + Snacks,2025-04-21 14:00:00,Kimmel Patio,False
Pitch Day 2025,2025-04-21 14:00:00,"Google HQ (76 9th Avenue New York, NY 10011)",False
Build-a-Terrarium Workshop,2025-04-21 15:00:00,Kimmel 8th Floor,False
Board Games & Bao,2025-04-21 15:30:00,Global Center Lower Lounge,False
Student Startup Demos + Pizza,2025-04-21 16:00:00,Leslie eLab,False
Ethics Workshop Series,2025-04-21 16:00:00,Washington Square Campus,False
Street Photography Walk,2025-04-21 16:30:00,Meet at Waverly Building Steps,False
Bob Ross Paint-Along,2025-04-21 17:00:00,Tisch Commons,False
Queer Union - Clothing Swap,2025-04-21 17:00:00,Kimmel Center 405,False
DFA x AUSA - Design Research Workshop,2025-04-21 17:30:00,5MTC Rm. 223,False
Sunset Sketching Session,2025-04-21 18:00:00,Washington Square Park,False
Senior Week: Life Beyond the Square Resource Fair,2025-04-21 18:00:00,Kimmel Center for University Life,False
Election Day,2025-04-21 18:00:00,,False
Cultural Movie Night: Parasite + Dumplings,2025-04-21 19:00:00,Third North MPR,False
NYU Improv Night,2025-04-21 19:30:00,Palladium Theater,False
"Mini Open Mic: Poetry, Songs, Rants",2025-04-21 20:00:00,NYU Spiritual Life Room,False
Silent Disco Study Break,2025-04-21 21:00:00,Kimmel Rooftop,False
Midnight Waffle Bar,2025-04-21 23:00:00,Lipton Hall,False
Bridges Mentorship Program,2025-04-22 00:00:00,Kimmel Rm 375,True
CBL Doodles; Tea and Joe’s Pizza,2025-04-22 00:00:00,GLOBAL CTR (Kimmel) - GC 361,True
Intermediate Choreography Lessons,2025-04-22 00:00:00,Pearl Studios,True
Queer Union - Clothing Swap,2025-04-22 00:00:00,Kimmel Center 405,True
Spring 2025,2025-04-22 00:00:00,NYU Shanghai New Bund Campus,True
VioletFit: Intro to Weightlifting,2025-04-22 00:00:00,404 Fitness - Dance Studio,True
AMC Virtual Diaper Drive,2025-04-22 00:00:00,,True
Bridge and Spades Meeting & Eboard Election,2025-04-22 00:00:00,Kimmel 802 Shoren,True
NYWEA x CUE Earth Day Event,2025-04-22 00:00:00,Civil and Urban Engineering Department Pantry Area,True
William N. Rom Climate Change & Health Fellowship Presentation,2025-04-22 11:00:00,"708 Broadway, Room 801 | Online",False
Earth Day Books & Bites,2025-04-22 11:00:00,NYU Changemaker Centre,False
Pet Portrait Pop-Up at Indie Bookstore Day,2025-04-22 12:00:00,"Books Are Magic, Montague",False
Papotons en français!,2025-04-22 12:30:00,Washington Square Campus,False
Post-Easter Mixer,2025-04-22 16:00:00,Kimmel Center 909,False
Ethics Workshop Series,2025-04-22 16:00:00,Washington Square Campus,False
Nail Night In,2025-04-22 16:00:00,5 mtc L223,False
Undergrad Consulting Recruiting 101,2025-04-22 16:00:00,2MTC Rm. 1054,False
So What’s the Deal with DEI?,2025-04-22 16:00:00,"Student Event Space B - 274, 105 East 17th Street",False
Decoding Hindustani Music: Art and Science,2025-04-22 16:30:00,19 Washington Square North,False
NSBE Elections,2025-04-22 17:30:00,370 Jay St. Rm. 1201,False
DG Sisterhood name,2025-04-22 18:00:00,Kimmel CTR 904,False
Keep Calm! Eat an Oblea,2025-04-22 18:00:00,Kimmel 903,False
The Human Rights Council: Between Law and Politics in a Changing International Environment,2025-04-22 18:00:00,,False
Black Neurologists/Neurosurgeon Panel,2025-04-22 18:30:00,Meyer 636,False
BSHA E-Board Elections,2025-04-22 18:30:00,"Kimmel Center for University Life, Rm. 907",False
MktSoc Case Competition Finals,2025-04-22 18:30:00,KMEC 2-100,False
